company_id,year,period_type,period_months,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,low_interest_coverage_flag,net_debt_cr,asset_turnover,revenue_cagr_3y_pct,revenue_cagr_3y_flag,revenue_cagr_5y_pct,revenue_cagr_5y_flag,revenue_cagr_10y_pct,revenue_cagr_10y_flag,pat_cagr_3y_pct,pat_cagr_3y_flag,pat_cagr_5y_pct,pat_cagr_5y_flag,pat_cagr_10y_pct,pat_cagr_10y_flag,eps_cagr_3y_pct,eps_cagr_3y_flag,eps_cagr_5y_pct,eps_cagr_5y_flag,eps_cagr_10y_pct,eps_cagr_10y_flag,free_cash_flow_cr,cfo_quality_score,cfo_quality_label,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
ABB,2012.0,ANNUAL,12,8.771929824561402,12.220205686630369,22.411128284389488,33.23029366306028,15.986769570011026,0.0,0,,Debt Free,0,,1.822491730981257,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,,0.696551724137931,WEAK,,,,68.0,30.80952380952381,25.0,0.0,101.0
ABB,2014.0,ANNUAL,12,8.699472759226714,11.731107205623902,25.12690355329949,37.43654822335025,17.383669885864794,0.0,0,,Debt Free,0,,1.9982440737489024,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,,0.0,WEAK,,,,93.0,37.523809523809526,25.0,0.0,0.0
ABB,2015.0,ANNUAL,12,10.004368719965049,13.630406290956753,24.439701173959445,36.71291355389541,16.666666666666664,0.0,0,,Debt Free,0,,1.665938864628821,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,-48.0,-0.1528384279475982,WEAK,13.0,0.5679335954565312,-20.96069868995633,108.0,44.61904761904762,29.0,0.0,-35.0
ABB,2016.0,ANNUAL,12,9.755164498852334,13.963274674827847,21.338912133891213,33.55648535564853,15.77970297029703,0.0,0,133.66666666666666,Normal,0,,1.6175742574257426,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,1518.0,6.0549019607843135,STRONG,26.0,0.9946442234123948,595.2941176470588,120.0,56.90476190476191,29.0,0.0,1544.0
ABB,2017.0,ANNUAL,12,9.541853255253187,13.709955218739236,19.971160778658977,31.57894736842105,13.407550822846078,0.0,0,219.0,Normal,0,,1.40513068731849,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,2171.0,7.902527075812275,STRONG,18.0,0.6200482259731313,783.7545126353791,130.0,66.04761904761905,31.0,0.0,2189.0
ABB,2018.0,ANNUAL,12,12.15888417222559,15.918738629472406,23.685764914353214,36.91671588895452,16.5976821192053,0.0,0,156.25,Normal,0,,1.365066225165563,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,2211.0,5.4812967581047385,STRONG,-13.0,-0.3941782898726501,551.3715710723192,189.0,80.61904761904762,29.0,0.0,2198.0
ABB,2019.0,ANNUAL,12,12.231584669747214,16.444686055993476,22.41035856573705,34.910358565737056,15.300918055083304,0.0,0,350.5,Normal,0,,1.2509350561033663,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,2550.0,5.757777777777778,STRONG,41.0,1.1144332699103017,566.6666666666667,212.0,95.61904761904762,31.0,0.0,2591.0
ABB,2020.0,ANNUAL,12,14.488150500855118,18.49499144881505,24.39325380501851,31.158864159631623,16.718353538201296,0.071986836692719,0,90.22222222222224,Normal,0,,1.153932901043135,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,5212.0,9.168634064080944,STRONG,225.0,5.497190324945028,878.9207419898819,279.0,115.76190476190476,90.0,175.0,5437.0
ABB,2021.0,ANNUAL,12,16.03248259860789,21.392111368909514,26.5564950038432,34.26497277676951,17.994791666666668,0.0588009223674096,0,52.44444444444444,Normal,0,,1.1223958333333333,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,3745.0,5.476121562952243,STRONG,39.0,0.9048723897911832,541.9681620839364,325.0,123.9047619047619,85.0,153.0,3784.0
ABB,2022.0,ANNUAL,12,16.26297577854671,22.023203745165887,28.33333333333333,36.97846567967699,18.915719696969692,0.0539007092198581,0,57.8421052631579,Normal,0,,1.1631155303030305,10.713721789385655,NORMAL,9.716101277290168,NORMAL,9.89829036473968,NORMAL,20.232437941096727,NORMAL,21.69314043381163,NORMAL,19.75338045077737,NORMAL,20.24167817921956,NORMAL,21.65851677781967,NORMAL,19.772344260550724,NORMAL,4011.0,5.127659574468085,STRONG,86.0,1.75045796865459,502.0025031289112,376.0,134.28571428571428,73.0,152.0,4097.0
